,openssl@1.1.1l/3hjnscuv4clijpe2zq6ctqdahseg6a5z:2600,openssl@1.1.1l/3hjnscuv4clijpe2zq6ctqdahseg6a5z:2994,openssl@1.1.1l/3hjnscuv4clijpe2zq6ctqdahseg6a5z:983,openssl@1.1.1l/6oyfrgdhnuxq7hl2s572ig3sbwqn6yfx:2063,openssl@1.1.1l/6oyfrgdhnuxq7hl2s572ig3sbwqn6yfx:2388,openssl@1.1.1l/6oyfrgdhnuxq7hl2s572ig3sbwqn6yfx:568,openssl@1.1.1l/cpfin4633djcagrsk63cl5pciso6qxl6:2114,openssl@1.1.1l/cpfin4633djcagrsk63cl5pciso6qxl6:2301,openssl@1.1.1l/cpfin4633djcagrsk63cl5pciso6qxl6:548,openssl@1.1.1l/glutufrm33zhgonfdbiamib45jywli6f:2736,openssl@1.1.1l/glutufrm33zhgonfdbiamib45jywli6f:3098,openssl@1.1.1l/mis7o22v3ijek6l3tjbthkojwp6a7ukk:1217,openssl@1.1.1l/mis7o22v3ijek6l3tjbthkojwp6a7ukk:3184,openssl@1.1.1l/mmax2co7zzw6qtjlk3nbfeh3gdz2jhlb:1022,openssl@1.1.1l/mmax2co7zzw6qtjlk3nbfeh3gdz2jhlb:2816,openssl@1.1.1l/mmax2co7zzw6qtjlk3nbfeh3gdz2jhlb:3158,openssl@1.1.1l/orxnn3yskqnuvonlgu6mbyp77hjhutkg:1061,openssl@1.1.1l/orxnn3yskqnuvonlgu6mbyp77hjhutkg:2688,openssl@1.1.1l/orxnn3yskqnuvonlgu6mbyp77hjhutkg:2949,openssl@1.1.1l/paqxae2r5k3xeto3skajqbev226sdj4c:2096,openssl@1.1.1l/paqxae2r5k3xeto3skajqbev226sdj4c:2264,openssl@1.1.1l/paqxae2r5k3xeto3skajqbev226sdj4c:670,openssl@1.1.1l/qcmnunlg7abzvs6o73mboldleetd3qtl:1256,openssl@1.1.1l/qcmnunlg7abzvs6o73mboldleetd3qtl:3261,openssl@1.1.1l/qcmnunlg7abzvs6o73mboldleetd3qtl:3412,openssl@1.1.1l/s2h5it47wscr5u7rt7fcxedcq4cgc7qy:1100,openssl@1.1.1l/s2h5it47wscr5u7rt7fcxedcq4cgc7qy:2643,openssl@1.1.1l/s2h5it47wscr5u7rt7fcxedcq4cgc7qy:2936,openssl@1.1.1l/scxyl35mc7kk7sfhbufvaecxvd6mj4ig:2184,openssl@1.1.1l/scxyl35mc7kk7sfhbufvaecxvd6mj4ig:2276,openssl@1.1.1l/xxjngwctakak7cc5s4m6lg3q3bxxoep3:1178,openssl@1.1.1l/xxjngwctakak7cc5s4m6lg3q3bxxoep3:2883,openssl@1.1.1l/xxjngwctakak7cc5s4m6lg3q3bxxoep3:3172,openssl@1.1.1l/zqw6sbjosjmfswtssrz4wst7ycdbsaoq:2535,openssl@1.1.1l/zqw6sbjosjmfswtssrz4wst7ycdbsaoq:2972,openssl@1.1.1l/zty2qtvaf44pd4fgrdhc4kycgg7qehcs:1295,openssl@1.1.1l/zty2qtvaf44pd4fgrdhc4kycgg7qehcs:3308,openssl@1.1.1l/zty2qtvaf44pd4fgrdhc4kycgg7qehcs:3396,pkgconf@1.8.0/2vnrvnwyicaevseh5knlh4busiwumgb4:1023,pkgconf@1.8.0/2vnrvnwyicaevseh5knlh4busiwumgb4:2817,pkgconf@1.8.0/7unr6feyyrqzu73w5r4b2kcemo7x2flo:1179,pkgconf@1.8.0/7unr6feyyrqzu73w5r4b2kcemo7x2flo:2884,pkgconf@1.8.0/anrpxjaapfdsygzbmwgbtieytfdodxvl:1257,pkgconf@1.8.0/anrpxjaapfdsygzbmwgbtieytfdodxvl:3262,pkgconf@1.8.0/apncx7jzjqh4gugt5xlovh4hb34luvsf:2483,pkgconf@1.8.0/apncx7jzjqh4gugt5xlovh4hb34luvsf:867,pkgconf@1.8.0/bb7uo4zeviibyztogxvnqjrco4yagupk:2737,pkgconf@1.8.0/begneagheoqxdp2jjc3ovcguupa65dnn:2185,pkgconf@1.8.0/cr6bl3ldhmtanxm7mzer7kl3qekdazro:1101,pkgconf@1.8.0/cr6bl3ldhmtanxm7mzer7kl3qekdazro:2644,pkgconf@1.8.0/d37tl5gquoojp6uqaozu7vnlhpb2gfkq:1940,pkgconf@1.8.0/d37tl5gquoojp6uqaozu7vnlhpb2gfkq:413,pkgconf@1.8.0/fwujkya7cgret4scz72vcqqcpswrdolz:1884,pkgconf@1.8.0/fwujkya7cgret4scz72vcqqcpswrdolz:477,pkgconf@1.8.0/imivzpopjcgskrh3bsapxmbuwbfy7n7p:2064,pkgconf@1.8.0/imivzpopjcgskrh3bsapxmbuwbfy7n7p:569,pkgconf@1.8.0/q55twym232tyzfrbyb7marogto6poqqs:1296,pkgconf@1.8.0/q55twym232tyzfrbyb7marogto6poqqs:3309,pkgconf@1.8.0/qedlxiv6bazzr4wj3745ut3rdxt75lmk:1995,pkgconf@1.8.0/qedlxiv6bazzr4wj3745ut3rdxt75lmk:696,pkgconf@1.8.0/t6nf76iv7ayzzore7wmxz4jv5qay2zmi:2845,pkgconf@1.8.0/zdyk3fxr4alc52kgi3q532x7yjnw5zzv:2759,pkgconf@1.8.0/zdyk3fxr4alc52kgi3q532x7yjnw5zzv:906,pkgconf@1.8.0/znydlxm3k6raooelyt6v2xsog57rahai:1062,pkgconf@1.8.0/znydlxm3k6raooelyt6v2xsog57rahai:2689,zlib@1.2.11/24yocv2bginjnbejmmaxyg7jnemjql3e:2186,zlib@1.2.11/24yocv2bginjnbejmmaxyg7jnemjql3e:2278,zlib@1.2.11/2psni23qo4yftgrpfcsamk5kcfcg67ta:2690,zlib@1.2.11/2psni23qo4yftgrpfcsamk5kcfcg67ta:2951,zlib@1.2.11/2psni23qo4yftgrpfcsamk5kcfcg67ta:327,zlib@1.2.11/3umxdfbhdj2r7zwdm72vqyom6b3dtxa6:2818,zlib@1.2.11/3umxdfbhdj2r7zwdm72vqyom6b3dtxa6:3160,zlib@1.2.11/3umxdfbhdj2r7zwdm72vqyom6b3dtxa6:346,zlib@1.2.11/6g3p2a2a4yram3uszldcjj4kpiwazjdu:3186,zlib@1.2.11/6g3p2a2a4yram3uszldcjj4kpiwazjdu:334,zlib@1.2.11/7dpxgmjrl4d7yorywmcq5jo7gebeeqg7:2484,zlib@1.2.11/7dpxgmjrl4d7yorywmcq5jo7gebeeqg7:3052,zlib@1.2.11/7dpxgmjrl4d7yorywmcq5jo7gebeeqg7:355,zlib@1.2.11/c7ghghldnhotuvkyfvulduz6cn6lbngp:2116,zlib@1.2.11/c7ghghldnhotuvkyfvulduz6cn6lbngp:2303,zlib@1.2.11/c7ghghldnhotuvkyfvulduz6cn6lbngp:292,zlib@1.2.11/dijq7f6agbt42mzsnzli5uww6jinrqqw:2885,zlib@1.2.11/dijq7f6agbt42mzsnzli5uww6jinrqqw:301,zlib@1.2.11/dijq7f6agbt42mzsnzli5uww6jinrqqw:3174,zlib@1.2.11/dpu67sndb4g5yrduh5rlpbvk2syzrkxj:1885,zlib@1.2.11/dpu67sndb4g5yrduh5rlpbvk2syzrkxj:2567,zlib@1.2.11/dpu67sndb4g5yrduh5rlpbvk2syzrkxj:283,zlib@1.2.11/fetfeeat5iwke6cqwx2b2hm462cf6e7w:1986,zlib@1.2.11/fetfeeat5iwke6cqwx2b2hm462cf6e7w:2335,zlib@1.2.11/fpg72wdc2n3sz3molu6v524aoxbrpf5m:2602,zlib@1.2.11/fpg72wdc2n3sz3molu6v524aoxbrpf5m:322,zlib@1.2.11/g3s7rpljzjtm3inp35catgiq6yvgtgsx:3263,zlib@1.2.11/g3s7rpljzjtm3inp35catgiq6yvgtgsx:3414,zlib@1.2.11/g3s7rpljzjtm3inp35catgiq6yvgtgsx:352,zlib@1.2.11/jd47rgbd5wrrsxqqvj3s7alpqow4hpkf:3310,zlib@1.2.11/jd47rgbd5wrrsxqqvj3s7alpqow4hpkf:337,zlib@1.2.11/jd47rgbd5wrrsxqqvj3s7alpqow4hpkf:3398,zlib@1.2.11/ksr5xv5p32nhmyhi7puvib5l3saae3ae:2846,zlib@1.2.11/ksr5xv5p32nhmyhi7puvib5l3saae3ae:3087,zlib@1.2.11/mg4stmfvswqk3ez26oi6pwmvlk5kh72g:2645,zlib@1.2.11/mg4stmfvswqk3ez26oi6pwmvlk5kh72g:2938,zlib@1.2.11/mg4stmfvswqk3ez26oi6pwmvlk5kh72g:340,zlib@1.2.11/mwifiga6wu43s7kwk34lv2nzboreynul:1996,zlib@1.2.11/mwifiga6wu43s7kwk34lv2nzboreynul:2291,zlib@1.2.11/mwifiga6wu43s7kwk34lv2nzboreynul:313,zlib@1.2.11/od3ff45qkqomztabnsdu53oodi4b4vnl:2099,zlib@1.2.11/od3ff45qkqomztabnsdu53oodi4b4vnl:2266,zlib@1.2.11/od3ff45qkqomztabnsdu53oodi4b4vnl:319,zlib@1.2.11/p2xexzf5dogrcn63iyt2m26p7brnsc2j:2065,zlib@1.2.11/p2xexzf5dogrcn63iyt2m26p7brnsc2j:310,zlib@1.2.11/rmgwufkn7yhmpl22euvymlhp6f2qqvhi:2537,zlib@1.2.11/utr5k4rrz6umwgqbvkl26ui2cmcxtvy5:2760,zlib@1.2.11/utr5k4rrz6umwgqbvkl26ui2cmcxtvy5:298,zlib@1.2.11/utr5k4rrz6umwgqbvkl26ui2cmcxtvy5:3130,zlib@1.2.11/yyp52guhrxkprm2eqppdbhnh2kbrjt5m:2738,zlib@1.2.11/yyp52guhrxkprm2eqppdbhnh2kbrjt5m:3100
curl@7.49.1/v4royou22khkrf5o6oknxqicofabamr4:3389,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
curl@7.49.1/z2eswbyvr33uz2r7vreterj7e44ub22l:3380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0
curl@7.50.1/2nj5tlxacnomahxswfruxniwswhqgse6:2587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.1/3rgxauxqj2g2nb5mc35yv3eo3ng74clu:3043,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
curl@7.50.1/4m7jw3n5gjeuducoshxd3hhczzywy3om:3382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.1/52tyhqzi2euio5ltwti5zn5b54qqdwg6:3377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0
curl@7.50.1/7kn7vplsu257jsqi5e7yhgcerrl5ed4t:3115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.1/alcfg32nbbq7jib3jpuyrull6vsrdcau:3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.1/em46x5htgp2oohoig37cimpwm66fifc6:3344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.1/fkqhidz4vlfxb5q35qft3mcdjko22is4:3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.1/hliniu2twrv3f72nendapmyyxwpronxq:2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.1/kbt6neac4pwrybsjctdkfmsgmwe46htq:3393,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.1/ktn2doedaleqqnzo7wlkabbxm4243xx5:2468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0
curl@7.50.1/lzp3vzikkoovrvt6rwxhbl22jiss4iji:2529,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
curl@7.50.1/mhrlc3i4c5a4tbegdppyokg45erqvukj:2733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.1/o43svin4igocyfhvjwzpqfh2g2736woy:2386,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.1/oprgpclyfo36fei3el5jpkgh7hqgpdfu:2658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.1/puwg5t24jaunylmc3c6q254ynqh3zh3b:2453,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0
curl@7.50.1/uz27sjodxlf5c3kjtxi5bsna7uycfrrs:3070,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
curl@7.50.1/v2tj52tgwdtygqte4mpe66ws3t66feyx:3387,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
curl@7.50.1/zmnp3a7ycy3i6tbxitp226tneh4ss2cf:3461,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.2/2qzollh3zvajrahqnhe5ejs37nnoqxzn:3374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0
curl@7.50.2/3za43kwcplexkiaiv4wroz22l6zxyejf:3384,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
curl@7.50.2/4fb5uzi5asryufbbwrulz7glo4n4nqz5:3110,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.2/736feux2ogs5ryot7f6slxojl7xnocyr:3041,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
curl@7.50.2/apxj6ma4qjj5isvtzeqvmkd4ys2mezp5:3392,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.2/eudhn4gzqeuumpobvlfyu6ygqnuhziu4:2732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.2/fkasgdwduwdpaki42d45qhlem5ng7xqp:2384,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.2/fypf6wxld7utkqbe4nniyzz5ilgj5vdb:3143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.2/gdovkg4656u5w7gic52wj57cftm3chm3:3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.2/hnr5doo5jyutf65of3tfhk5ka3tjqj7s:2450,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0
curl@7.50.2/hq6q477nle67e7iyniwjh2l2ucrof44z:3378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curl@7.50.2/ioaqvtwnruo2q2tztw75cz7s4bifjmvo:2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
